rxn00001	diphosphate phosphohydrolase
rxn19175	L-arabinose isomerase
rxn19176	arachidonate 5-lipoxygenase
rxn19177	arylamine dehydrogenase
rxn19178	arylamine dehydrogenase
rxn19179	serotonin N-acetyltransferase
rxn19180	L-arginine carboxy-lyase (agmatine-forming)
rxn19181	canavanase
rxn19182	arginine-tRNA ligase
rxn19183	arginyl-transfer ribonucleate-protein transferase
rxn19184	pseudocholinesterase (associated with arylacylamidase)
rxn19185	NADPH-linked benzaldehyde reductase
rxn19186	aryl-alcohol dehydrogenase
rxn19187	aryl-alcohol:oxygen oxidoreductase
rxn19188	aryl-aldehyde dehydrogenase (NADP+)
rxn19189	aryl-aldehyde:NAD+ oxidoreductase
rxn19190	aryl-aldehyde:oxygen oxidoreductase
rxn19191	RXN-8091.c
rxn19192	RXN-8089.c
rxn19193	RXN-8090.c
rxn19194	arylsulfotransferase
rxn19195	UDP-glucose:arylamine N-D-glucosyltransferase
rxn19196	indoleamine N-acetyltransferase
rxn19197	arylamine sulfotransferase
rxn19198	Parathion hydrolase
rxn19199	Parathion hydrolase
rxn19200	aryltriphosphate dialkylphosphohydrolase
rxn19201	paraoxonase
rxn19202	formylkynureninase
rxn19203	aryl-sulfate sulfohydrolase
rxn19204	RXN-11086.c
rxn19205	ascorbate phosphorylation III
rxn19206	ascorbate phosphorylation IV
rxn19207	ascorbate phosphorylation
rxn19208	L-asparaginase
rxn19209	L-asparagine:tRNAAsn ligase (AMP-forming)
rxn19210	ASPAROXO-RXN.c
rxn19211	aspartic acid translase
rxn19212	aspartoacylase
rxn19213	phosphoribosyladenosine triphosphate:pyrophosphate phosphoribosyltransferase
rxn19214	BA7DEHYDRA-RXN.c
rxn19215	BADEL4OXRED-RXN.c
rxn19216	BADEL6OXRED-RXN.c
rxn19217	BADH
rxn19218	BADH
rxn19219	BADH
rxn19220	BAI3OXO-OXRED-RXN.c
rxn19221	BAIAEUBSP-RXN.c
rxn19224	benzaldehyde:NAD+ oxidoreductase
rxn19225	benzoic acid 4-hydroxylase
rxn19226	benzaldehyde lyase
rxn19227	3-hydroxybenzyl-alcohol dehydrogenase (NAD+)
rxn19228	beta-cyclopiazonate:acceptor oxidoreductase (cyclizing)
rxn19229	beta-D-glucuronoside glucuronosohydrolase
rxn19230	beta-L-arabinoside arabinohydrolase
rxn19231	penicillinase
rxn19232	penicillinase
rxn19233	(3S)-3,6-diaminohexanoate 5,6-aminomutase
rxn19234	bilirubin:NAD(P)+ oxidoreductase
rxn19235	biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming)
rxn19236	acetyl CoA holocarboxylase synthetase
rxn19237	acetyl CoA holocarboxylase synthetase
rxn19238	2,3-dihydroxybiphenyl dioxygenase
rxn19239	blasticidin-S deaminase
rxn19240	Isoleucine transaminase
rxn19241	branched-chain-amino-acid transaminase
rxn19242	Valine transaminase
rxn19243	BSDOSALCAL-RXN.c
rxn19244	butanal:NAD(P)+ oxidoreductase (CoA-acylating)
rxn19245	butyryl-coenzyme A synthetase
rxn19246	15-tetracosenoate-CoA ligase
rxn19247	short-chain acyl-coenzyme A dehydrogenase
rxn19248	CAIE-RXN.c
rxn19249	caldesmon-phosphatase
rxn19250	oxygenase, camphor 1,2-mono
rxn19251	carbon-monoxide dehydrogenase
rxn19252	prostaglandin 9-ketoreductase
rxn19253	L-arogenate hydro-lyase (decarboxylating)
rxn19254	carboxyesterase
rxn19255	pancreatic carboxypeptidase A
rxn19256	CARDIOLIPSYN-RXN.c
rxn19257	CARDIOLIPSYN-RXN.e
rxn19258	CARDIOLIPSYN-RXN.p
rxn19259	carnitine O-acetyltransferase
rxn19260	carnitine O-acetyltransferase
rxn19261	carnosine-homocarnosine synthetase
rxn19262	CARNRACE-RXN.c
rxn19263	carveol dehydrogenase
rxn19264	CAT
rxn19265	MB-COMT (membrane-bound form of catechol-O-methyltransferase)
rxn19266	L-dopa O-methyltransferase
rxn19267	CDHMSARC-RXN.c
rxn19268	cytidine diphosphodiacylglycerol pyrophosphatase
rxn19269	cytidine diphosphodiacylglycerol pyrophosphatase
rxn19270	cytidine diphosphoglyceride pyrophosphorylase
rxn19271	cytidine diphosphoglyceride pyrophosphorylase
rxn19272	cytidine diphosphoglyceride pyrophosphorylase
rxn19273	cytidine diphosphoglyceride pyrophosphorylase
rxn19274	cytidine diphosphoglyceride pyrophosphorylase
rxn19275	cytidine diphosphoglyceride pyrophosphorylase
rxn19276	CDPKIN-RXN.n
rxn19277	CDPREDUCT-RXN.c
rxn19278	cellobiose oxidoreductase
rxn19279	beta-1,4-oligoglucan:orthophosphate glucosyltransferase
rxn19280	cellulose synthase (guanosine diphosphate-forming)
rxn19281	N-acylsphingosine amidohydrolase
rxn19282	Phytoceramidase
rxn19283	ceramide cholinephosphotransferase
rxn19284	glucosylceramide synthase
rxn19285	ATP:ceramide 1-phosphotransferase
rxn19286	cerebroside-3-sulfate 3-sulfohydrolase
rxn19287	chalcone-flavanone isomerase
rxn19288	choline:(acceptor) 1-oxidoreductase
rxn19289	choline:(acceptor) 1-oxidoreductase
rxn19290	choline:(acceptor) 1-oxidoreductase
rxn19291	destabilase
rxn19292	protein methylase II
rxn19293	chitin deacetylase
rxn19294	COD
rxn19295	chitin deacetylase
rxn19296	COD
rxn19300	CPO
rxn19301	chlorogenase
rxn19302	chlorophyll chlorophyllidohydrolase
rxn19303	propionylcholinesterase
rxn19304	chondroitin sulfotransferase
rxn19305	chondroitin sulfotransferase
rxn19306	terminal 6-sulfotransferase
rxn19307	terminal 6-sulfotransferase
rxn19308	polyglucuronate 5-epimerase
rxn19309	chorismate mutase
rxn19310	cinnamate beta-D-glucosyltransferase
rxn19311	cis-2-enoyl-coenzyme A reductase
rxn19312	CISTRANON-RXN.c
rxn19313	acetate:citrate-(pro-3S)-lyase(thiol-form) ligase (AMP-forming)
rxn19314	[citrate-(pro-3S)-lyase](acetyl-form) hydrolase
rxn19315	citryl-ACP:oxaloacetate acetyl-ACP lyase
rxn19316	citrate condensing enzyme
rxn19317	citrate CoA-transferase
rxn19318	NADH2:CoA-disulfide oxidoreductase
rxn19319	CobS
rxn19320	CobS
rxn19321	CobS
rxn19322	CobS
rxn19324	F420-reducing hydrogenase
rxn19325	COLCYD-RXN.c
rxn19326	corticosterone 18-monooxygenase
rxn19327	CK-MM
rxn19328	CROBETRED-RXN.c
rxn19329	CROBETREDUCT-RXN.c
rxn19330	CROTCOALIG-RXN.c
rxn19331	NAD(P)H: cucurbitacin B delta23-oxidoreductase
rxn19334	cyclohexanone dehydrogenase
rxn19335	cyclomaltodextrin dextrin-hydrolase (decyclizing)
rxn19336	2',3'-cyclic nucleotidase
rxn19337	2',3'-cyclic nucleotidase
rxn19338	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)
rxn19339	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)
rxn19340	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)
rxn19341	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)
rxn19342	CYDTER-RXN.c
rxn19343	CYSPH-RXN.c
rxn19344	CYSPH-RXN.d
rxn19345	CYSSYNMULTI-RXN.c
rxn19346	CYSTATHIONASE-RXN.c
rxn19347	cystathionine L-homocysteine-lyase (deaminating)
rxn19348	cysteinyl-transferRNA synthetase
rxn19349	glutamine transaminase K/cysteine conjugate beta-lyase
rxn19350	CYSTHIOCYS-RXN.c
rxn19351	NADH-dependent cystine reductase
rxn19352	CYT-ACC-RXN.c
rxn19353	CYTC-RED-RXN.c
rxn19354	CYTD-OX-RXN.c
rxn19355	CYTD-RED-RXN.c
rxn19356	NADH-cytochrome b5 reductase
rxn19357	complex IV (mitochondrial electron transport)
rxn19358	complex IV (mitochondrial electron transport)
rxn19359	complex IV (mitochondrial electron transport)
rxn19360	cytochrome-c peroxidase
rxn19361	hydrogenase [ambiguous]
rxn19362	uridine diphosphoglucose-zeatin 7-glucosyltransferase
rxn19363	D-2-hydroxy acid dehydrogenase
rxn19364	D-amino acid acetyltransferase
rxn19365	D-amino-acid oxidase
rxn19366	D-arabinokinase (phosphorylating)
rxn19367	D-arabinose:NAD+ 1-oxidoreductase
rxn19368	aspartic oxidase
rxn19369	D-fuconate dehydratase
rxn19370	D-glutamate transferase
rxn19371	D-sorbitol dehydrogenase
rxn19372	D-lactate dehydrogenase (cytochrome)
rxn19373	D-lactate dehydrogenase (cytochrome)
rxn19374	Nopaline synthase
rxn19375	Nopaline synthase
rxn19376	D-octopine dehydrogenase
rxn19377	D-octopine dehydrogenase
rxn19378	D-deoxyribose 1,5-phosphomutase
rxn19380	D-sorbitol:(acceptor) 1-oxidoreductase
rxn19381	D-sorbitol:(acceptor) 1-oxidoreductase
rxn19382	D-threo-aldose 1-dehydrogenase
rxn19383	D-amino-acid:(acceptor) oxidoreductase (deaminating)
rxn19384	DADPKIN-RXN.n
rxn19385	D-alanine dehydrogenase
rxn19414	D-alanine dehydrogenase
rxn19443	DARABALDOL-RXN.c
rxn19444	D-arabinose ketol-isomerase
rxn19445	DARABKIN-RXN.c
rxn19446	dATP(dGTP)-DNA purinetransferase
rxn19447	DCARNCOALIG-RXN.c
rxn19448	DCDPC-RXN.c
rxn19449	DCDPKIN-RXN.n
rxn19450	DCEREDCHLOR-RXN.c
rxn19451	DCEREDCHLOR-RXN.e
rxn19452	dehydrogluconate dehydrogenase
rxn19453	DEOXYADENPHOSPHOR-RXN.c
rxn19454	Ara-C kinase
rxn19455	DEOXYGUANPHOSPHOR-RXN.c
rxn19456	deoxyhypusine hydroxylase
rxn19457	DEOXYINOPHOSPHOR-RXN.c
rxn19458	deoxyribonucleoside monophosphokinase
rxn19459	3'-deoxynucleotidase
rxn19460	photoreactivating enzyme
rxn19461	deoxyribose-phosphate aldolase
rxn19463	dephosphorylation of isocitrate dehydrogenase enzyme
rxn19464	AMP-activated kinase
rxn19465	DGDPKIN-RXN.n
rxn19466	ATP:2,3-dihydroxybenzoate adenylyltransferase
rxn19467	DHS-1-P phosphatase
rxn19468	diglyceride O-acyltransferase
rxn19469	diglyceride O-acyltransferase
rxn19470	arachidonoyl-specific diacylglycerol kinase
rxn19471	arachidonoyl-specific diacylglycerol kinase
rxn19472	putrescine (diamine)-acetylating enzyme
rxn19473	amine transaminase
rxn19474	LiP
rxn19475	LiP
rxn19476	dicarboxylate-CoA ligase
rxn19477	DIENELACHYDRO-RXN.c
rxn19478	2,4-dienoyl-CoA reductase (NADPH)
rxn19479	diferric-transferrin reductase
rxn19480	difructose-anhydride synthase
rxn19481	DIGLUCO-DOCOSANOATE-ACETYLATION-RXN.c
rxn19482	DIGLUCOACETYL-DOCOSANOATE-ACETYL-RXN.c
rxn19483	13-[O(2')-beta-D-glucopyranosyl-beta-D-glucopyranosyloxy]docosanoate O(6'')-acetate-esterase
rxn19484	13-sophorosyloxydocosanoate 6',6''-diacetate-esterase
rxn19485	DIHYDLIPACETRANS-RXN.c
rxn19486	dihydrobunolol dehydrogenase
rxn19487	dihydrodipicolinic acid synthase
rxn19488	7,8-dihydrofolate synthetase
rxn19489	(S)-dihydroorotate:quinone oxidoreductase
rxn19514	(S)-dihydroorotate:quinone oxidoreductase
rxn19543	dihydrodipicolinate reductase
rxn19544	alpha,beta-dihydroxyisovalerate dehydratase
rxn19545	2,3-Dihydroxy-3-methylvalerate dehydratase
rxn19546	dimethyl sulfide:menaquinone oxidoreductase
rxn19556	dimethyl sulfide:menaquinone oxidoreductase
rxn19567	N,N-dimethylglycine:acceptor oxidoreductase (demethylating)
rxn19568	desulfhydrase
rxn19569	Ala-Gly-Ala-Gly-ligase
rxn19570	diphthamide synthetase
rxn19571	disulfoglucosamine-6-sulfatase
rxn19573	DSBBPROT-RXN.c
rxn19574	DSBBPROT-RXN.p
rxn19575	DLACTDEHYDROGFAD-RXN.c
rxn19601	DLACTDEHYDROGFAD-RXN.p
rxn19630	DMK-RXN.p
rxn19631	DNA (cytosine-5-)-methyltransferase
rxn19632	terminal addition enzyme
rxn19633	RDRP
rxn19634	deoxyribonucleic joinase
rxn19635	deoxyribonucleic joinase
rxn19636	dolichol phosphokinase
rxn19637	dolichol phosphokinase
rxn19638	dolichol O-acyltransferase
rxn19639	dolichyl monophosphate phosphatase
rxn19640	Dol-P-P phosphohydrolase
rxn19641	dTDP-4-dehydrorhamnose 3,5-epimerase
rxn19642	dTDP-4-keto-L-rhamnose reductase
rxn19643	DTDPKIN-RXN.n
rxn19644	DTDPRHAMSYNTHMULTI-RXN.c
rxn19645	DUDPKIN-RXN.n
rxn19646	1-deoxy-D-xylulose-5-phosphate isomeroreductase
rxn19647	Ecdysone,hydrogen-donor:oxygen oxidoreductase (20-hydroxylating)
rxn19648	EICOMP-RXN.c
rxn19649	EGCase
rxn19650	polyphosphatase
rxn19651	2,3,4-saturated-fatty-acid-[acp] reductase
rxn19652	2,3,4-saturated-fatty-acid-[acp] reductase
rxn19653	2,3,4-saturated fatty acyl-[ACP] dehydrogenase
rxn19654	probable enoyl-CoA hydratase/isomerase
rxn19655	probable enoyl-CoA hydratase/isomerase
rxn19657	long-chain enoyl coenzyme A hydratase
rxn19660	2-octenoyl coenzyme A hydrase
rxn19661	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA), peroxisomal
rxn19662	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA), peroxisomal
rxn19663	enoyl-CoA hydratase/isomerase family protein
rxn19664	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA), peroxisomal
rxn19666	enoyl-CoA hydratase/isomerase family protein
rxn19668	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA), peroxisomal
rxn19669	enoyl-CoA hydratase/isomerase family protein
rxn19670	ENTDB-RXN.c
rxn19671	ENTDB-RXN.p
rxn19672	2,3-dihydroxybenzoate:L-serine ligase
rxn19673	ENZRXN-201-RXN.d
rxn19674	estradiol 17alpha-dehydrogenase
rxn19675	17beta,20alpha-hydroxysteroid dehydrogenase
rxn19676	17beta,20alpha-hydroxysteroid dehydrogenase
rxn19679	estradiol 6beta-monooxygenase
rxn19680	ETFCLOS-RXN.c
rxn19681	phosphorylethanolamine-glyceride transferase
rxn19682	aminocyclopropanecarboxylate oxidase
rxn19683	fructose diphosphate aldolase
rxn19684	hexose diphosphatase
rxn19685	hexose diphosphatase
rxn19686	beta-hydroxydecanoyl thioester dehydrase
rxn19687	FAD-OX-RXN.c
rxn19688	FAD-RED-RXN.c
rxn19689	geranylgeranyl pyrophosphate synthetase
rxn19690	geranylgeranyl pyrophosphate synthetase
rxn19691	geranylgeranyl pyrophosphate synthetase
rxn19692	fatty acid methyltransferase
rxn19693	yeast fatty acid synthase
rxn19694	fatty-acyl-CoA synthase
rxn19695	fatty-acyl-ethyl-ester synthase
rxn19696	FCLREDUCT-RXN.c
rxn19697	FEFDCP-RXN.c
rxn19698	FEMOCOSYN-RXN.c
rxn19699	FEMOFECP-RXN.c
rxn19700	NAD+-ferredoxin reductase
rxn19701	ferredoxin-nitrite reductase
rxn19702	FESO3OXI-RXN.c
rxn19703	FESO3OXI-RXN.p
rxn19704	Flavodoxin--NADP(+) reductase
rxn19705	Flavodoxin--NADP(+) reductase
rxn19706	flavone 7-O-beta-glucosyltransferase
rxn19707	flavonoid 3'-hydroxylase
rxn19708	flavonol 3-O-glucosyltransferase
rxn19709	FMN-OX-RXN.c
rxn19710	FMN-RED-RXN.c
rxn19711	FMNH2:NAD(P)+ oxidoreductase
rxn19712	tetrahydrofolylpolyglutamate synthase
rxn19713	tetrahydrofolylpolyglutamate synthase
rxn19714	formaldehyde transketolase
rxn19715	formyl dihydrofolate synthase
rxn19716	formate dehydrogenase (cytochrome)
rxn19717	formate dehydrogenase (menaquinone)
rxn19728	N-formimidoyl-L-glutamate iminohydrolase
rxn19729	formylmethanofuran:(acceptor) oxidoreductase
rxn19730	farnesyl pyrophosphate synthetase
rxn19731	fructokinase (phosphorylating)
rxn19732	5-keto-D-fructose reductase (NADP+)
rxn19733	fructose 5-dehydrogenase (acceptor)
rxn19734	transport of fructose by PTS
rxn19735	FTRMBARK-RXN.c
rxn19738	L-fucose isomerase
rxn19739	fucokinase
rxn19740	(S)-malate hydro-lyase
rxn19741	5-N-acyl-L-ornithine-ester hydrolase
rxn19742	GABA-oxoglutarate aminotransferase
rxn19743	thiogalactoside acetyltransferase
rxn19744	galactolipid acylhydrolase
rxn19745	galactolipid:galactolipid acyltransferase
rxn19746	L-galactonolactone dehydrogenase
rxn19747	L-galactonolactone dehydrogenase
rxn19748	alpha-(1->2)-L-fucosyltransferase
rxn19749	plasma alpha-3-fucosyltransferase
rxn19750	galactosylcerebrosidase
rxn19751	3'-phosphoadenosine-5'-phosphosulfate-cerebroside sulfotransferase
rxn19753	UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase
rxn19756	UDPglucose:vanillate 1-O-glucosyltransferase
rxn19757	gamma-L-glutamylcyclotransferase
rxn19758	gamma-glutamyl transpeptidase (ambiguous)
rxn19759	gamma-glutamyl transpeptidase (ambiguous)
rxn19760	uridine diphosphogalactose-ceramide galactosyltransferase
rxn19761	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)
rxn19762	NAD+-dependent glyceraldehyde phosphate dehydrogenase
rxn19763	GCVMULTI-RXN.m
rxn19764	glycine:H-protein-lipoyllysine oxidoreductase (decarboxylating, acceptor-amino-methylating)
rxn19765	glycine:H-protein-lipoyllysine oxidoreductase (decarboxylating, acceptor-amino-methylating)
rxn19766	[protein]-8-S-aminomethyldihydrolipoyllysine:tetrahydrofolate aminomethyltransferase (ammonia-forming)
rxn19767	[protein]-8-S-aminomethyldihydrolipoyllysine:tetrahydrofolate aminomethyltransferase (ammonia-forming)
rxn19768	GDP-6-deoxy-D-talose 4-dehydrogenase
rxn19769	GDPKIN-RXN.n
rxn19770	GDP-mannose mannosyl hydrolase
rxn19771	GDPREDUCT-RXN.c
rxn19772	geranoyl coenzyme A carboxylase
rxn19773	UDP-glucose:gibberellin 2-O-beta-D-glucosyltransferase
rxn19774	WecA
rxn19775	glucose-6-phosphate dehydrogenase
rxn19776	adenosine diphosphate glucose pyrophosphorylase
rxn19777	UDPG pyrophosphorylase
rxn19778	membrane-bound glucose dehydrogenase
rxn19786	membrane-bound glucose dehydrogenase
rxn19794	glucose isomerase
rxn19795	gluconate 2-dehydrogenase (acceptor)
rxn19796	gluconate 2-dehydrogenase (acceptor)
rxn19797	5-keto-D-gluconate 5-reductase
rxn19800	glucosamine kinase
rxn19801	glucosamine acetyltransferase
rxn19804	glucosamine-phosphate N-acetyltransferase
rxn19806	glucosamine-phosphate N-acetyltransferase
rxn19808	glucosamine-phosphate N-acetyltransferase
rxn19810	glucose 1-dehydrogenase
rxn19811	alpha-D-glucose-1-phosphate phosphohydrolase
rxn19812	alpha-D-glucose-1-phosphate phosphohydrolase
rxn19813	glucose-1-phosphate phosphodismutase
rxn19814	D-glucose-6-phosphate phosphohydrolase
rxn19815	glucose dehydrogenase (acceptor)
rxn19816	hexopyranoside-cytochrome c oxidoreductase
rxn19817	glucocerebrosidase
rxn19818	13-beta-D-GLUCOSYLOXYDOCOSANOATE-TRANS-GLUCOSE
rxn19820	D-glucuronate isomerase
rxn19821	glucuronate reductase
rxn19822	glucuronokinase
rxn19823	S-adenosyl-L-methionine:glucuronoxylan-D-glucuronate 4-O-methyltransferase
rxn19824	glutamic acid translase
rxn19825	glutaconyl coenzyme A decarboxylase
rxn19826	glutamate dehydrogenase [NAD(P)+]
rxn19827	L-glutamate:NAD+ oxidoreductase (deaminating)
rxn19828	ferredoxin-dependent glutamate synthase
rxn19829	ferredoxin-dependent glutamate synthase
rxn19830	GLUTAMIDOTRANS-RXN.d
rxn19831	L-glutaminase
rxn19832	glutamine-tRNA ligase
rxn19833	glutamine N-acyltransferase
rxn19834	glutamine phenylacetyltransferase
rxn19835	glutamate-ammonia ligase
rxn19836	glutamate-ammonia ligase
rxn19837	L-glutaminyl-peptide gamma-glutamyltransferase (cyclizing)
rxn19838	GLUTAREDOXIN-RXN.c
rxn19839	glutaryl-CoA dehydrogenase
rxn19840	glutaryl coenzyme A dehydrogenase
rxn19841	glutathione-disulfide reductase
rxn19842	glutathione-disulfide reductase
rxn19844	glutathione thiolesterase
rxn19846	glutamyl-tRNA reductase
rxn19847	peptidase alpha
rxn19848	glycerol phosphate dehydrogenase (nicotinamide adenine dinucleotide (phosphate))
rxn19849	D-glycerate dehydrogenase
rxn19850	alpha-glycerophosphatase
rxn19851	glycerol dehydrogenase (acceptor)
rxn19852	glyceryl-ether cleaving enzyme
rxn19853	glyceryl-ether cleaving enzyme
rxn19854	glycyl-transfer ribonucleate synthetase
rxn19855	arginine-glycine transamidinase
rxn19856	glycine dehydrogenase (cytochrome)
rxn19857	glycine N-acyltransferase
rxn19858	glycine-taurine N-acyltransferase
rxn19859	alpha-glucan-branching glycosyltransferase
rxn19860	uridine diphosphoglucose-glycogen glucosyltransferase phosphatase
rxn19861	glycogenin
rxn19862	starch synthase (glycosyl-transferring)
rxn19863	glycolate:(acceptor) 2-oxidoreductase
rxn19864	glycogen phosphorylase
rxn19865	glycoprotein N-palmitoyltransferase
rxn19866	glycoprotein phospholipase D
rxn19867	cerebrosidase
rxn19868	glycerophosphodiester phosphodiesterase
rxn19869	glycogen phosphorylase
rxn19870	threonine aldolase
rxn19871	phosphoglycolate hydrolase
rxn19872	dimethylallyltranstransferase
rxn19873	glutamine-synthetase adenylyltransferase
rxn19874	GSCYSSYN-RXN.c
rxn19875	GSDEADENYLATION-RXN.c
rxn19876	RX:glutathione R-transferase
rxn19877	GST-RXN.c
rxn19878	GUANOSINEKIN-RXN.m
rxn19879	H2SOXIREDPYRO-RXN.c
rxn19880	H2SOXIREDPYRO-RXN.e
rxn19881	haloacetate halidohydrolase
rxn19882	1-haloalkane halidohydrolase
rxn19883	hamamelosekinase (ATP: hamamelose 2'-phosphotransferase)
rxn19884	HAO (ambiguous
rxn19885	heme oxygenase (decyclizing)
rxn19886	heme oxygenase (decyclizing)
rxn19887	heme o biosynthesis
rxn19888	heparan sulfate N-sulfotransferase
rxn19889	heparan sulfate N-sulfotransferase
rxn19890	hexokinase
rxn19891	hexokinase
rxn19892	Histidinal dehydrogenase
rxn19893	phosphoribosyladenosine monophosphate cyclohydrolase
rxn19894	histidyl-tRNA synthetase
rxn19895	histidine acetyltransferase
rxn19896	Histidinol dehydrogenase
rxn19897	histone acetyltransferase
rxn19898	phosphoribosyl-ATP pyrophosphatase
rxn19899	holocytochrome-c synthase
rxn19900	tetrahydropteroyltriglutamate methyltransferase
rxn19903	HOMOSERDEAM-RXN.c
rxn19904	homoserine dehydrogenase
rxn19905	homoserine kinase
rxn19906	glucuronoglycosaminoglycan lyase
rxn19907	2-hydroxyglutarate glyoxylate-lyase (CoA-propanoylating)
rxn19908	bidirectional hydrogenase
rxn19909	bidirectional hydrogenase
rxn19910	bisulfite reductase
rxn19911	HYDROHEX-RXN.c
rxn19912	HYDROHEX-RXN.d
rxn19913	Allene oxide synthase
rxn19914	UDP-glucose:13-hydroxydocosanoic acid glucosyltransferase
rxn19915	hydroxylamine reductase
rxn19916	guanosine triphosphate:5-hydroxy-L-lysine O-phosphotransferase
rxn19917	hydroxymandelonitrile lyase
rxn19918	hydroxyproline oxidase
rxn19919	D-glycerate:NADP+ 2-oxidoreductase
rxn19920	ATP:hygromycin-B 7''-O-phosphotransferase
rxn19921	icosanoyl-CoA synthase
rxn19922	ILEDEAMINE-RXN.c
rxn19923	IMIDHYD-RXN.c
rxn19924	D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate hydro-lyase
rxn19925	imidazol-5-yl lactate dehydrogenase
rxn19927	imidazol-5-yl lactate dehydrogenase
rxn19930	IMP dehydrogenase
rxn19931	indan-1-ol:NAD(P)+ 1-oxidoreductase
rxn19932	inosine ribohydrolase
rxn19933	inosine kinase (phosphorylating)
rxn19935	isopentenylpyrophosphate isomerase
rxn19936	isopentenylpyrophosphate isomerase
rxn19937	iron-cytochrome c reductase
rxn19938	Isoamylase
rxn19939	aldoxime methyltransferase
rxn19940	MenF
rxn19941	isocitrate glyoxylate-lyase
rxn19942	IDP1
rxn19943	IDP1
rxn19944	formononetin,NADPH:oxygen oxidoreductase (2'-hydroxylating)
rxn19945	formononetin,NADPH:oxygen oxidoreductase (2'-hydroxylating)
rxn19946	isoflavone methyltransferase
rxn19947	uridine diphosphoglucose-isoflavone 7-O-glucosyltransferase
rxn19948	isoleucine-tRNA ligase
rxn19949	isoorientin 3'-methyltransferase
rxn19950	(-)-trans-isopiperitenol:NAD+ oxidoreductase
rxn19951	isopiperitenone delta-isomerase
rxn19952	ISOVALERYLCOA-DHLIPOAMIDE-RXN.c
rxn19953	UDP-glucose:isovitexin  2''-O-beta-D-glucosyltransferase
rxn19954	(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
rxn19955	(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
rxn19956	(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
rxn19957	(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
rxn19958	naphthoquinone hydroxylase
rxn19959	ATP:kanamycin 3'-O-phosphotransferase
rxn19960	3'-phosphoadenylyl keratan sulfotransferase
rxn19961	3-ketothiolase
rxn19966	3-ketothiolase
rxn19967	myristoyl-CoA:acetylCoA C-myristoyltransferase
rxn19968	butanoyl-CoA:acetyl-CoA C-butanoyltransferase
rxn19970	Decanoyl-CoA:acetyl-CoA C-acyltransferase
rxn19974	Lauroyl-CoA:acetyl-CoA C-acyltransferase
rxn19976	Octanoyl-CoA:acetyl-CoA C-acyltransferase
rxn19977	Hexanoyl-CoA:acetyl-CoA C-acyltransferase
rxn19978	3-ketothiolase
rxn19979	acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal
rxn19980	acetyl-CoA C-acyltransferase, putative / 3-ketoacyl-CoA thiolase, putative
rxn19981	acetyl-CoA acyltransferase (hexadecanoyl-CoA), peroxisomal
rxn19982	acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal
rxn19986	acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal
rxn19988	acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal
rxn19989	acetyl-CoA C-acyltransferase, putative / 3-ketoacyl-CoA thiolase, putative
rxn19990	3-ketoglucose reductase
rxn19991	ATP:D-fructose 1-phosphotransferase
rxn19992	4-methyl-2-oxopentanoate dehydrogenase (lipoamide)
rxn19993	L-kynurenine hydrolase
rxn19994	L-kynurenine-3-hydroxylase
rxn19995	L-kynurenine-3-hydroxylase
rxn19996	kynurenate 7,8-hydroxylase
rxn19997	beta-cyano-L-alanine synthase
rxn19998	L-amino-acid dehydrogenase
rxn19999	L-amino-acid oxidase
rxn20000	L-arabinokinase (phosphorylating)
rxn20001	L-arabonate dehydratase
rxn20002	L-arabinose 1-dehydrogenase
rxn20003	L-aspartate oxidase
rxn20004	L-fuconate hydro-lyase (2-dehydro-3-deoxy-L-fuconate-forming)
rxn20007	L-(+)-glycol:NAD(P) oxidoreductase
rxn20008	GLO
rxn20009	GLO
rxn20010	L-lactate dehydrogenase (cytochrome)
rxn20011	lactate oxidation
rxn20012	lactate oxidation
rxn20013	L-OXOACET-RXN.c
rxn20014	L-pipecolate dehydrogenase
rxn20015	pipecolate oxidase
rxn20016	pipecolate oxidase
rxn20017	threonate dehydrogenase
rxn20018	L-xylose 1-dehydrogenase
rxn20019	p-diphenol oxidase
rxn20020	LACCOA-RXN.c
rxn20021	D-aldohexopyranoside dehydrogenase
